,text,date
28,🎥 Watch @rioferdy5 @joelbeya @mrstephenhowson rank players past and present at the FIFA THE BEST AWARDS! https://piped.kavin.rocks/v-wDX0EtHtc?si=NCA5aestx8otExqB,"Jan 18, 2024 · 9:14 PM UTC"
29,"Penaldo Treble : Las vegas, ""Factos"", Instagram 500M+ Messi Treble : World Cup, Ballon d'Or, Fifa the Best","Jan 18, 2024 · 9:03 PM UTC"
30,They’re calling FIFA The Best rigged because Messi won it again.  Thought it’s voted by actual players and team captains AND NOT corrupt journalists?  Why are they still crying or are the players or voted for Messi also corrupt?  😂😂😂😂,"Jan 15, 2024 · 9:06 PM UTC"
31,"1 trophy,  2 FIFA the best 1 Ballon d’or  You no go respect World Cup keh?","Jan 15, 2024 · 9:43 PM UTC"
32,8 Ballon d'Ors. 8 FIFA The Best.  The Greatest Sportsman to ever live.,"Jan 15, 2024 · 8:58 PM UTC"
33,Messi FIFA THE BEST 2️⃣0️⃣6️⃣4️⃣🏆,"Jan 17, 2024 · 8:23 PM UTC"
34,Pessi fans should please explain how TF he won FIFA the best award.,"Jan 18, 2024 · 8:48 PM UTC"
35,Victor Osimhen the Man of the Match!  No doubt he had a good game But seriously how ?💁‍♀️  Is Calvin bassey  Ola Aina Nwabali Ekong  a joke to you? 🙄  Man of the match Award Like FIFA The Best award   Popularity Award 😊🤭  #AFCON2023,"Jan 18, 2024 · 8:36 PM UTC"
36,"PODCAST - Here is a new episode of Rambling RunOff! Robert and Danny discuss NFL Playoffs: Super Wild Card weekend and Divisional Round, NBA Talk, The Warm-Up: Golf N Stuff, and the Rundown! Listen to us ramble on YouTube #NFL #NBA #Golf #FIFATheBest #NHL https://piped.kavin.rocks/R57ZMkucBd4","Jan 18, 2024 · 8:40 PM UTC"
37,🤣🤣🤣🤣🤣this is the most shameless thing I've ever seen. Where's carlos Vera's fifa the best😭😭,"Jan 18, 2024 · 8:38 PM UTC"
38,SOCCER : @FIFAcom a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest d'entraîneur(e) de foot féminin de l'année remis plus tôt cette semaine.  🇨🇦Christine Sinclair a voté pour  Sarina Wiegman (gagnante) / Tony Gustavsson / Emma Hayes 🇨🇦 Bev Priestman a voté pour Wiegman / Peter Gerhardsson / Hayes Le journaliste Neil Davidson a voté pour Hayes / Gerhardsson / Gustavsson  @CanadaSoccerFR @CanadaSoccerEN #CanWNT,"Jan 18, 2024 · 8:29 PM UTC"
39,SOCCER : @FIFAcom a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest d'entraîneur de foot masculin de l'année remis plus tôt cette semaine    🇨🇦Milan Borjan a voté pour  Pep Guardiola / Luciano Spaletti / Simone Inzaghi 🇨🇦 Mauro Biello a voté pour Pep Guardiola / Simone Inzaghi / Luciano Spaletti Le journaliste Neil Davidson (PC) a voté pour  Pep Guardiola / Xavi / Luciano Spaletti  @CanadaSoccerEN @CanadaSoccerFR #CanMNT,"Jan 18, 2024 · 8:24 PM UTC"
40,"#CanWNTSOCCER :@FIFAcom a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest de gardienne de but féminine de l'année remis plus tôt cette semaine.    🇨🇦Christine Sinclair a voté pour  🇸🇪 Zecira Musovic, 🏴󠁧󠁢󠁥󠁮󠁧󠁿Mary Earps (gagnante) et 🇩🇪 Ann-Katrin Berger 🇨🇦 Bev Priestman a voté pour 🏴󠁧󠁢󠁥󠁮󠁧󠁿Earps , 🇦🇺 Mackenzie Arnold et 🇪🇸 Sandra Panos  Le journaliste Neil Davidson a voté pour 🇩🇪 Berger, 🇨🇱 Christiane Endler et 🇪🇸 Catalina Coll  @CanadaSoccerFR @CanadaSoccerEN #CanWNT","Jan 18, 2024 · 8:22 PM UTC"
41,"Tell that fraud  , hazard deserves fifa the best more than pendu","Jan 18, 2024 · 8:16 PM UTC"
42,"SOCCER : @FIFAcom  a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest de gardien masculin de l'année remis plus tôt cette semaine  🇨🇦Milan Borjan a voté pour 🇩🇪 Marc-André Ter Steven 🇲🇦 Yassine Bounou et 🇧🇷Ederson 🇨🇦Mauro Biello a voté pour 🇲🇦 Bounou, 🇧🇷 Ederson et 🇧🇪 Thibaut Courtois Le journaliste Neil Davidson (PC) a voté pour 🇧🇷 Ederson, 🇲🇦 Bounou et 🇧🇪 Courtois   @CanadaSoccerFR @CanadaSoccerEN #CanMNT","Jan 18, 2024 · 8:15 PM UTC"
